Event,Time,Event_Type,Event_ID,Source,Message
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,ERROR,-1073348594,volsnap,"('\\Device\\HarddiskVolumeShadowCopy8', 'D:', 'D:', 'c000000e', '163', '0x0005', '2176')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\$Mft')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\$Mft')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\$Extend\\$UsnJrnl:$J')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\maszyny\\ubuntu\\vmware.log')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\iso_i_tym_podobne\\kali\\kali-lin .. arevm\\kali-linux-2024.4-vmware-amd64-s001.vmdk')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221454,Ntfs,"('', 'D:\\WZIRNIlaby\\iso_i_tym_podobne\\kali\\kali-linux-2024.4-vmware-amd64.vmwarevm\\vmware.log')"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 08:12:55 2025,WARNING,-2147221453,disk,"('\\Device\\Harddisk1\\DR4',)"
System,Thu Mar 27 06:45:02 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Thu Mar 27 06:06:55 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
System,Wed Mar 26 21:22:13 2025,WARNING,-2147483648,hcmon,"('\\Device\\hcmon', '\\Driver\\USBPcap')"
Application,Thu Mar 27 08:13:46 2025,ERROR,1005,Application Error,"('', 'VMware Workstation VMX', '0xc000000e', '0x0')"
Application,Thu Mar 27 08:13:46 2025,ERROR,1000,Application Error,"('vmware-vmx.exe', '17.6.3.61826', '67b70bad', 'vmware-vmx.exe', '17.6.3.61826', '67b70bad', 'c0000006', '0000000000095f59', '0x2b10', '0x1db9e23adb60b27', 'C:\\Program Files (x86)\\VMware\\VMware Workstation\\x64\\vmware-vmx.exe', 'C:\\Program Files (x86)\\VMware\\VMware Workstation\\x64\\vmware-vmx.exe', 'fd6e4c1b-465f-4679-a771-06559d19c7a5', '', '')"
Application,Thu Mar 27 08:12:57 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Application,Thu Mar 27 08:12:57 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Application,Thu Mar 27 07:00:04 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Application,Thu Mar 27 07:00:04 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Application,Thu Mar 27 06:06:47 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Application,Thu Mar 27 06:06:47 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Application,Thu Mar 27 04:44:21 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Application,Thu Mar 27 04:44:21 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Application,Thu Mar 27 04:28:55 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Application,Thu Mar 27 04:28:55 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Application,Thu Mar 27 01:27:26 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Application,Thu Mar 27 01:27:26 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Application,Thu Mar 27 01:12:01 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Application,Thu Mar 27 01:12:01 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Application,Wed Mar 26 22:10:31 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Application,Wed Mar 26 22:10:31 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Thu Mar 27 08:13:46 2025,ERROR,1005,Application Error,"('', 'VMware Workstation VMX', '0xc000000e', '0x0')"
Network Isolation Operational,Thu Mar 27 08:13:46 2025,ERROR,1000,Application Error,"('vmware-vmx.exe', '17.6.3.61826', '67b70bad', 'vmware-vmx.exe', '17.6.3.61826', '67b70bad', 'c0000006', '0000000000095f59', '0x2b10', '0x1db9e23adb60b27', 'C:\\Program Files (x86)\\VMware\\VMware Workstation\\x64\\vmware-vmx.exe', 'C:\\Program Files (x86)\\VMware\\VMware Workstation\\x64\\vmware-vmx.exe', 'fd6e4c1b-465f-4679-a771-06559d19c7a5', '', '')"
Network Isolation Operational,Thu Mar 27 08:12:57 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Network Isolation Operational,Thu Mar 27 08:12:57 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Thu Mar 27 07:00:04 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Network Isolation Operational,Thu Mar 27 07:00:04 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Thu Mar 27 06:06:47 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Network Isolation Operational,Thu Mar 27 06:06:47 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Thu Mar 27 04:44:21 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Network Isolation Operational,Thu Mar 27 04:44:21 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Thu Mar 27 04:28:55 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Network Isolation Operational,Thu Mar 27 04:28:55 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Thu Mar 27 01:27:26 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Network Isolation Operational,Thu Mar 27 01:27:26 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Thu Mar 27 01:12:01 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 00 SUCCESS')"
Network Isolation Operational,Thu Mar 27 01:12:01 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
Network Isolation Operational,Wed Mar 26 22:10:31 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', 'ASUS HID Service: set report 5d c1 01 SUCCESS')"
Network Isolation Operational,Wed Mar 26 22:10:31 2025,OTHER,0,AsHidCtrlService,"('AsHidCtrlService', '0x5d 0x05 0x20 0x31 0x00 0x09 0xb1 0x03 0x00 0x04 0x00 0x07 0x01 0x02 0x03 0x00 ')"
